week_of_month,month,value
1,01,457550
2,01,551230
3,01,335850
4,01,314280
5,01,181040
1,02,217650
2,02,640040
3,02,337670
4,02,342270
5,02,228920
1,03,167910
2,03,730240
3,03,308060
4,03,262670
5,03,290290
6,03,12980
1,04,602230
2,04,365200
3,04,232200
4,04,307450
5,04,159550
1,05,352990
2,05,683990
3,05,266690
4,05,279890
5,05,340990
