date;value
2022-02-12;3370
2022-02-15;18847
2022-02-25;8652
2022-02-26;0
2022-02-02;18170
2022-02-07;3835
2022-02-09;15455
2022-02-12;0
2022-02-17;7160
2022-02-19;6915
2022-02-24;2220
2022-02-27;750
2022-02-03;385
2022-02-03;9250
2022-02-04;8020
2022-02-26;1775
2022-02-28;5750
2022-02-05;7585
2022-02-09;36485
2022-02-13;11950
2022-02-18;6400
2022-02-18;19270
2022-02-20;0
2022-02-21;16640
2022-02-25;20791
2022-02-04;810
2022-02-06;4305
2022-02-11;2049
2022-02-13;3635
2022-02-14;41037
2022-02-17;14340
2022-02-18;1700
2022-02-19;3500
2022-02-21;2070
2022-02-23;600
2022-02-23;13736
2022-02-02;15764
2022-02-04;30650
2022-02-05;10445
2022-02-07;42636
2022-02-16;2940
2022-02-21;31882
2022-02-23;17100
2022-02-24;200
2022-02-28;20440
2022-02-28;0
2022-02-28;22685
2023-02-01;7451
2023-02-05;3650
2023-02-09;59615
2023-02-12;1644
2023-02-12;4490
2023-02-14;12855
2023-02-19;0
2023-02-23;0
2023-02-25;1300
2023-02-01;0
2023-02-08;71490
2023-02-11;0
2023-02-14;300
2023-02-15;1450
2023-02-26;2400
2023-02-27;7692
2023-02-03;0
2023-02-04;17482
2023-02-07;72360
2023-02-09;7020
2023-02-18;5044
2023-02-20;1200
2023-02-22;3360
2023-02-22;0
2023-02-25;0
2023-02-01;48000
2023-02-06;5223
2023-02-08;2780
2023-02-13;2388
2023-02-18;2282
2023-02-21;20840
2023-02-24;7041
2023-02-27;3300
2023-02-02;62675
2023-02-09;26289
2023-02-10;41190
2023-02-11;9700
2023-02-13;14180
2023-02-17;1444
2023-02-22;11823
2023-02-26;0
2023-02-27;64880
2023-02-03;1324
2023-02-06;0
2023-02-07;2424
2023-02-08;22015
2023-02-11;2020
2023-02-15;0
2023-02-21;0
2023-02-03;13302
2023-02-04;0
2023-02-10;9525
2023-02-16;6998
2023-02-16;0
2023-02-17;44985
2023-02-19;0
2023-02-23;47510
2023-02-26;0
2023-02-28;4686
2023-02-05;21380
2023-02-10;18610
2023-02-18;0
2023-02-18;38135
2023-02-21;2190
2023-02-21;0
2023-02-22;42715
2023-02-24;0
2023-02-28;0
2023-02-01;3412
2023-02-03;17390
2023-02-12;0
2023-02-13;7553
2023-02-15;9184
2023-02-21;6252
2023-02-23;6430
2023-02-26;1100
2023-02-27;0
2023-02-02;0
2023-02-04;0
2023-02-09;2970
2023-02-10;1150
2023-02-19;10140
2023-02-24;2176
2023-02-24;400
2023-02-05;0
2023-02-12;0
2023-02-13;0
2023-02-15;3511
2023-02-25;0
2023-02-25;11290
2023-02-02;8693
2023-02-02;11048
2023-02-04;13480
2023-02-14;45140
2023-02-15;41250
2023-02-16;7508
2023-02-19;1710
2023-02-20;0
2023-02-26;6820
2023-02-28;0
2023-02-28;5712
2023-02-02;2056
2023-02-03;20990
2023-02-06;105850
2023-02-07;0
2023-02-08;6054
2023-02-16;8945
2023-02-17;2619
2022-03-10;13081
2022-03-13;4050
2022-03-15;1370
2022-03-16;2150
2022-03-16;19647
2022-03-16;30875
2022-03-21;25242
2022-03-22;1500
2022-03-22;16619
2022-03-27;0
2022-03-28;14839
2022-03-03;12132
2022-03-04;43505
2022-03-09;50700
2022-03-11;0
2022-03-12;8904
2022-03-13;0
2022-03-14;11630
2022-03-17;12463
2022-03-18;15725
2022-03-23;27049
2022-03-25;0
2022-03-26;2700
2022-03-28;38055
2022-03-05;6100
2022-03-05;0
2022-03-07;34025
2022-03-07;7220
2022-03-09;27755
2022-03-10;5414
2022-03-18;0
2022-03-19;6095
2022-03-22;50
2022-03-22;22625
2022-03-23;650
2022-03-24;7510
2022-03-26;0
2022-03-29;0
2022-03-31;3800
2022-03-09;2770
2022-03-13;730
2022-03-21;9568
2022-03-22;4770
2022-03-23;9140
2022-03-29;15233
2022-03-29;1340
2022-03-31;100
2022-03-01;1900
2022-03-01;7230
2022-03-04;19445
2022-03-04;3855
2022-03-06;0
2022-03-07;74974
2022-03-17;19525
2022-03-17;2000
2022-03-26;1250
2022-03-01;0
2022-03-13;19373
2022-03-16;6150
2022-03-16;1050
2022-03-17;4999
2022-03-19;1820
2022-03-25;5226
2022-03-27;500
2022-03-29;16255
2022-03-05;0
2022-03-06;0
2022-03-09;21143
2022-03-10;6220
2022-03-14;17493
2022-03-21;480
2022-03-25;10040
2022-03-27;11300
2022-03-05;11272
2022-03-06;2100
2022-03-09;34850
2022-03-11;35771
2022-03-15;4050
2022-03-18;19305
2022-03-20;3000
2022-03-21;40435
2022-03-28;8290
2022-03-02;600
2022-03-03;29825
2022-03-04;14390
2022-03-15;8847
2022-03-19;0
2022-03-24;19400
2022-03-25;27450
2022-03-27;0
2022-03-04;1255
2022-03-06;7686
2022-03-07;0
2022-03-12;2570
2022-03-20;3050
2022-03-28;15402
2022-03-30;3693
2022-03-01;0
2022-03-06;0
2022-03-11;13686
2022-03-11;31275
2022-03-12;50
2022-03-12;6272
2022-03-26;5660
2022-03-03;13630
2022-03-11;1200
2022-03-14;2200
2022-03-23;750
2022-03-24;3600
2022-03-25;473
2022-03-27;5690
2022-03-28;380
2022-03-30;7755
2022-03-30;30900
2022-03-01;0
2022-03-02;13734
2022-03-07;0
2022-03-08;11747
2022-03-10;41385
2022-03-14;32498
2022-03-14;48260
2022-03-20;0
2022-03-29;1759
2022-03-31;6010
2022-03-31;20010
2022-03-03;50
2022-03-08;36566
2022-03-08;4025
2022-03-13;2600
2022-03-15;39950
2022-03-18;3015
2022-03-19;0
2022-03-24;12900
2022-03-31;1000
2023-03-03;15334
2023-03-05;2840
2023-03-06;23439
2023-03-07;225
2023-03-09;10724
2023-03-15;8977
2023-03-16;100
2023-03-19;1327
2023-03-19;0
2023-03-29;33545
2023-03-30;0
2023-03-09;3200
2023-03-09;0
2023-03-14;55365
2023-03-21;13223
2023-03-22;3907
2023-03-03;0
2023-03-07;5586
2023-03-07;13567
2023-03-12;0
2023-03-16;0
2023-03-17;2990
2023-03-20;7564
2023-03-21;1396
2023-03-23;4850
2023-03-23;4420
2023-03-26;15930
2023-03-07;0
2023-03-17;5784
2023-03-19;7205
2023-03-04;46950
2023-03-16;2888
2023-03-18;500
2023-03-18;22705
2023-03-24;49860
2023-03-28;22890
2023-03-30;1000
2023-03-01;510
2023-03-04;0
2023-03-07;91275
2023-03-08;56765
2023-03-09;4465
2023-03-11;0
2023-03-15;0
2023-03-17;51870
2023-03-27;2667
2023-03-28;0
2023-03-05;5150
2023-03-15;3130
2023-03-16;7711
2023-03-24;0
2023-03-26;3600
2023-03-27;5100
2023-03-28;4368
2023-03-29;3260
2023-03-31;32640
2023-03-02;0
2023-03-04;200
2023-03-05;3334
2023-03-08;7870
2023-03-09;100385
2023-03-11;24515
2023-03-13;0
2023-03-15;59255
2023-03-20;4882
2023-03-22;450
2023-03-22;11351
2023-03-27;59730
2023-03-29;0
2023-03-01;46935
2023-03-06;6582
2023-03-10;3040
2023-03-11;970
2023-03-12;3927
2023-03-16;67360
2023-03-18;300
2023-03-21;44980
2023-03-22;27210
2023-03-23;39890
2023-03-24;0
2023-03-25;5508
2023-03-30;2368
2023-03-03;12221
2023-03-04;15600
2023-03-06;0
2023-03-12;4500
2023-03-17;1000
2023-03-17;0
2023-03-18;6410
2023-03-23;0
2023-03-24;3786
2023-03-26;0
2023-03-26;5700
2023-03-30;3318
2023-03-31;0
2023-03-02;36570
2023-03-05;19700
2023-03-06;101640
2023-03-18;0
2023-03-20;4530
2023-03-22;0
2023-03-25;0
2023-03-01;2775
2023-03-02;3550
2023-03-06;12737
2023-03-08;0
2023-03-11;2989
2023-03-12;0
2023-03-14;0
2023-03-19;0
2023-03-19;3320
2023-03-20;56630
2023-03-21;0
2023-03-23;0
2023-03-25;5221
2023-03-01;6100
2023-03-10;99530
2023-03-13;6279
2023-03-13;17517
2023-03-29;4060
2023-03-30;28655
2023-03-31;4331
2022-04-09;29690
2022-04-12;13220
2022-04-18;23096
2022-04-23;0
2022-04-24;0
2022-04-25;800
2022-04-28;3050
2022-04-30;0
2022-04-01;2125
2022-04-02;5002
2022-04-05;52525
2022-04-06;2400
2022-04-06;53485
2022-04-12;15983
2022-04-12;1400
2022-04-14;6760
2022-04-19;0
2022-04-29;1900
2022-04-03;0
2022-04-05;9540
2022-04-05;12710
2022-04-14;0
2022-04-15;400
2022-04-15;5800
2022-04-06;8100
2022-04-06;11515
2022-04-17;6970
2022-04-22;42085
2022-04-08;6882
2022-04-08;5392
2022-04-17;3975
2022-04-17;0
2022-04-22;2137
2022-04-23;4310
2022-04-01;35365
2022-04-03;7055
2022-04-07;20470
2022-04-07;45785
2022-04-13;1770
2022-04-22;0
