week_of_month,month,value
1,01,506538
2,01,651439
3,01,478298
4,01,270120
5,01,288299
1,02,164654
2,02,538576
3,02,458802
4,02,479982
5,02,287759
1,03,151237
2,03,480538
3,03,410848
4,03,452100
5,03,400163
6,03,18710
1,04,436877
2,04,708473
3,04,447142
4,04,194179
5,04,184577
1,05,338927
2,05,845389
3,05,573213
4,05,385104
5,05,347772
1,06,3142
2,06,683356
